"batch","paid_at","retailer_name","invoice_number","order_numbers","invoice_total"
"OM21111514","2021-11-15T03:08:55.397Z","21 Red Espresso","G5490","[""G5489""]","800.00"
"OM21111514","2021-11-15T03:08:55.397Z","Biggs","G5471","[""G5470""]","338.55"
"OM21111514","2021-11-15T03:08:55.397Z","Biggs","G5520","[""G5519""]","150.40"
"OM21111514","2021-11-15T03:08:55.397Z","Biggs","G5485","[""G5484""]","1675.85"
"OM21111514","2021-11-15T03:08:55.397Z","Duck Duck Moose","G5512","[""G5511""]","890.00"
"OM21111514","2021-11-15T03:08:55.397Z","Headley Grange","G5492","[""G5491""]","450.00"
"OM21111514","2021-11-15T03:08:55.397Z","Maddz on York","G5509","[""G5508""]","1230.35"
"OM21111514","2021-11-15T03:08:55.397Z","Newcastle Flower Market","G5514","[""G5513""]","330.00"
"OM21111514","2021-11-15T03:08:55.397Z","Playing The Goat 2.0","G5508","[""G5507""]","604.50"
"OM21111514","2021-11-15T03:08:55.397Z","River House Cafe","G5482","[""G5481""]","918.00"
"OM21111514","2021-11-15T03:08:55.397Z","Sherwood Kahibah","G5475","[""G5474""]","1266.50"
"OM21111514","2021-11-15T03:08:55.397Z","Sherwood Kotara","G5476","[""G5475""]","1500.00"
"OM21111514","2021-11-15T03:08:55.397Z","Sherwood New Lambton","G5480","[""G5479""]","1650.00"
"OM21111514","2021-11-15T03:08:55.397Z","Tea Gardens Boatshed Restaurant","G5503","[""G5502""]","1475.00"
"OM21111514","2021-11-15T03:08:55.397Z","The Autumn Rooms","G5479","[""G5478""]","1866.00"
"OM21111514","2021-11-15T03:08:55.397Z","The Autumn Rooms","G5518","[""G5517""]","291.00"
"OM21111514","2021-11-15T03:08:55.397Z","The Bondwood","G5494","[""G5493""]","1120.00"
"OM21111514","2021-11-15T03:08:55.397Z","The Long Room Cafe Dungog","G5510","[""G5509""]","214.50"
"OM21111514","2021-11-15T03:08:55.397Z","The Source Cafe","G5501","[""G5500""]","695.00"
"OM21111514","2021-11-15T03:08:55.397Z","Wagtail Cafe","G5571","[""G5570""]","320.00"